LINE 205 : 2021-04-07 18:49:06,649 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 1271: 2021-04-07 18:49:10,225 [DEBUG   ] findfont: score(<Font 'Padauk Book' (Padauk-book.ttf) normal normal book normal>) = 10.05
LINE 1271: 2021-04-07 18:49:10,225 [DEBUG   ] findfont: score(<Font 'STIX' (STIX-BoldItalic.otf) italic normal bold normal>) = 11.335
LINE 1271: 2021-04-07 18:49:10,225 [DEBUG   ] findfont: score(<Font 'Loma' (Loma.ttf) normal normal 400 normal>) = 10.05
LINE 1271: 2021-04-07 18:49:10,225 [DEBUG   ] findfont: score(<Font 'Webdings' (webdings.ttf) normal normal 400 normal>) = 10.05
LINE 1271: 2021-04-07 18:49:10,225 [DEBUG   ] findfont: score(<Font 'Kinnari' (Kinnari-Oblique.ttf) oblique normal 400 normal>) = 11.05
LINE 1271: 2021-04-07 18:49:10,225 [DEBUG   ] findfont: score(<Font 'Arial Black' (ariblk.ttf) normal normal black normal>) = 10.525
LINE 1271: 2021-04-07 18:49:10,225 [DEBUG   ] findfont: score(<Font 'KacstPen' (KacstPen.ttf) normal normal 400 normal>) = 10.05
LINE 1271: 2021-04-07 18:49:10,225 [DEBUG   ] findfont: score(<Font 'Waree' (Waree-Oblique.ttf) oblique normal 400 normal>) = 11.05
LINE 1271: 2021-04-07 18:49:10,225 [DEBUG   ] findfont: score(<Font 'Verdana' (Verdana_Bold.ttf) normal normal bold normal>) = 3.9713636363636367
LINE 1271: 2021-04-07 18:49:10,226 [DEBUG   ] findfont: score(<Font 'Trebuchet MS' (trebuc.ttf) normal normal 400 normal>) = 10.05
LINE 1271: 2021-04-07 18:49:10,226 [DEBUG   ] findfont: score(<Font 'Tlwg Typewriter' (TlwgTypewriter-BoldOblique.ttf) oblique normal bold normal>) = 11.335
LINE 1271: 2021-04-07 18:49:10,226 [DEBUG   ] findfont: score(<Font 'Sawasdee' (Sawasdee-Oblique.ttf) oblique normal 400 normal>) = 11.05
LINE 1271: 2021-04-07 18:49:10,226 [DEBUG   ] findfont: score(<Font 'STIXSizeFourSym' (STIXSizeFourSym-Bold.otf) normal normal bold normal>) = 10.335
LINE 1271: 2021-04-07 18:49:10,226 [DEBUG   ] findfont: score(<Font 'Kinnari' (Kinnari.ttf) normal normal 400 normal>) = 10.05
LINE 1271: 2021-04-07 18:49:10,226 [DEBUG   ] findfont: score(<Font 'Liberation Sans Narrow' (LiberationSansNarrow-Bold.ttf) normal normal bold condensed>) = 10.535
LINE 1271: 2021-04-07 18:49:10,226 [DEBUG   ] findfont: score(<Font 'Loma' (Loma-Oblique.ttf) oblique normal 400 normal>) = 11.05
LINE 1271: 2021-04-07 18:49:10,226 [DEBUG   ] findfont: score(<Font 'KacstTitle' (KacstTitle.ttf) normal normal 400 normal>) = 10.05
LINE 1271: 2021-04-07 18:49:10,226 [DEBUG   ] findfont: score(<Font 'Trebuchet MS' (Trebuchet_MS_Bold_Italic.ttf) italic normal bold normal>) = 11.335
LINE 1271: 2021-04-07 18:49:10,226 [DEBUG   ] findfont: score(<Font 'Tlwg Typewriter' (TlwgTypewriter-Oblique.ttf) oblique normal 400 normal>) = 11.05
LINE 1271: 2021-04-07 18:49:10,226 [DEBUG   ] findfont: score(<Font 'Liberation Sans' (LiberationSans-Regular.ttf) normal normal 400 normal>) = 10.05
LINE 1271: 2021-04-07 18:49:10,226 [DEBUG   ] findfont: score(<Font 'Norasi' (Norasi.ttf) normal normal 400 normal>) = 10.05
LINE 1271: 2021-04-07 18:49:10,226 [DEBUG   ] findfont: score(<Font 'Times New Roman' (Times_New_Roman.ttf) normal normal roman normal>) = 10.145
LINE 1271: 2021-04-07 18:49:10,226 [DEBUG   ] findfont: score(<Font 'STIXIntegralsUp' (STIXIntegralsUp-Regular.otf) normal normal regular normal>) = 10.05
LINE 1271: 2021-04-07 18:49:10,226 [DEBUG   ] findfont: score(<Font 'STIXGeneral' (STIXGeneral-Bold.otf) normal normal bold normal>) = 10.335
LINE 1271: 2021-04-07 18:49:10,226 [DEBUG   ] findfont: score(<Font 'Tlwg Typist' (TlwgTypist-BoldOblique.ttf) oblique normal bold normal>) = 11.335
LINE 1271: 2021-04-07 18:49:10,226 [DEBUG   ] findfont: score(<Font 'STIX' (STIX-Bold.otf) normal normal bold normal>) = 10.335
LINE 1271: 2021-04-07 18:49:10,226 [DEBUG   ] findfont: score(<Font 'Arial' (Arial_Italic.ttf) italic normal 400 normal>) = 7.413636363636363
LINE 1271: 2021-04-07 18:49:10,227 [DEBUG   ] findfont: score(<Font 'Ubuntu' (Ubuntu-L.ttf) normal normal light normal>) = 10.24
LINE 1271: 2021-04-07 18:49:10,227 [DEBUG   ] findfont: score(<Font 'Liberation Serif' (LiberationSerif-Regular.ttf) normal normal 400 normal>) = 10.05
LINE 1271: 2021-04-07 18:49:10,227 [DEBUG   ] findfont: score(<Font 'Tlwg Typewriter' (TlwgTypewriter-Bold.ttf) normal normal bold normal>) = 10.335
LINE 1271: 2021-04-07 18:49:10,227 [DEBUG   ] findfont: score(<Font 'Kinnari' (Kinnari-Bold.ttf) normal normal bold normal>) = 10.335
LINE 1271: 2021-04-07 18:49:10,227 [DEBUG   ] findfont: score(<Font 'Tlwg Typo' (TlwgTypo-Oblique.ttf) oblique normal 400 normal>) = 11.05
LINE 1271: 2021-04-07 18:49:10,227 [DEBUG   ] findfont: score(<Font 'DejaVu Serif' (DejaVuSerifCondensed.ttf) normal normal 400 condensed>) = 10.25
LINE 1271: 2021-04-07 18:49:10,227 [DEBUG   ] findfont: score(<Font 'Impact' (impact.ttf) normal normal 400 normal>) = 10.05
